timestamp,ip_address,username,action
2024-04-02 08:30:00,192.168.1.10,admin,login_failed
2024-04-02 08:23:00,192.168.1.5,guest,login_failed
2024-04-02 08:09:00,192.168.1.15,root,login_success
2024-04-02 08:01:00,192.168.1.8,admin,login_failed
2024-04-02 08:14:00,192.168.1.20,user1,login_success
2024-04-02 08:29:00,192.168.1.20,user1,login_success
2024-04-02 08:28:00,192.168.1.15,user1,login_success
2024-04-02 08:13:00,192.168.1.10,guest,login_failed
2024-04-02 08:28:00,192.168.1.5,guest,login_success
2024-04-02 08:12:00,192.168.1.10,admin,login_success
2024-04-02 08:24:00,192.168.1.10,admin,login_success
2024-04-02 08:07:00,192.168.1.10,admin,login_failed
2024-04-02 08:05:00,192.168.1.10,user2,login_failed
2024-04-02 08:20:00,192.168.1.5,user3,login_success
2024-04-02 08:08:00,192.168.1.8,root,login_failed
2024-04-02 08:21:00,192.168.1.10,guest,login_success
2024-04-02 08:14:00,192.168.1.8,user3,login_success
2024-04-02 08:27:00,192.168.1.15,user3,login_success
2024-04-02 08:18:00,192.168.1.5,user2,login_success
2024-04-02 08:14:00,192.168.1.10,admin,login_failed
2024-04-02 08:26:00,192.168.1.20,admin,login_failed
2024-04-02 08:07:00,192.168.1.20,guest,login_success
2024-04-02 08:16:00,192.168.1.20,user2,login_success
2024-04-02 08:03:00,192.168.1.5,user3,login_success
2024-04-02 08:04:00,192.168.1.5,user2,login_failed
2024-04-02 08:02:00,192.168.1.5,admin,login_failed
2024-04-02 08:26:00,192.168.1.15,admin,login_success
2024-04-02 08:13:00,192.168.1.5,user2,login_failed
2024-04-02 08:17:00,192.168.1.10,admin,login_failed
2024-04-02 08:02:00,192.168.1.15,user1,login_success
2024-04-02 08:25:00,192.168.1.15,admin,login_success
2024-04-02 08:30:00,192.168.1.10,admin,login_failed
2024-04-02 08:02:00,192.168.1.15,user3,login_success
2024-04-02 08:08:00,192.168.1.20,admin,login_failed
2024-04-02 08:11:00,192.168.1.20,guest,login_success
2024-04-02 08:29:00,192.168.1.8,user2,login_failed
2024-04-02 08:08:00,192.168.1.15,user1,login_failed
2024-04-02 08:19:00,192.168.1.8,admin,login_success
2024-04-02 08:14:00,192.168.1.8,admin,login_failed
2024-04-02 08:02:00,192.168.1.15,admin,login_success
2024-04-02 08:18:00,192.168.1.20,user1,login_success
2024-04-02 08:14:00,192.168.1.5,user1,login_failed
2024-04-02 08:17:00,192.168.1.8,user2,login_success
2024-04-02 08:20:00,192.168.1.5,guest,login_success
2024-04-02 08:02:00,192.168.1.10,user1,login_success
2024-04-02 08:15:00,192.168.1.10,user2,login_failed
2024-04-02 08:10:00,192.168.1.15,admin,login_success
2024-04-02 08:19:00,192.168.1.5,guest,login_failed
2024-04-02 08:24:00,192.168.1.5,guest,login_failed
2024-04-02 08:09:00,192.168.1.5,user3,login_failed
2024-04-02 08:30:00,192.168.1.5,root,login_success
2024-04-02 08:11:00,192.168.1.15,user3,login_failed
2024-04-02 08:06:00,192.168.1.8,user1,login_success
2024-04-02 08:27:00,192.168.1.10,root,login_success
2024-04-02 08:27:00,192.168.1.8,user1,login_failed
2024-04-02 08:18:00,192.168.1.5,user2,login_failed
2024-04-02 08:11:00,192.168.1.20,user2,login_success
2024-04-02 08:04:00,192.168.1.5,guest,login_success
2024-04-02 08:23:00,192.168.1.10,user2,login_failed
2024-04-02 08:01:00,192.168.1.8,guest,login_success
2024-04-02 08:22:00,192.168.1.15,user3,login_failed
2024-04-02 08:15:00,192.168.1.5,user1,login_success
2024-04-02 08:16:00,192.168.1.5,user1,login_failed
2024-04-02 08:02:00,192.168.1.8,user2,login_failed
2024-04-02 08:03:00,192.168.1.8,user2,login_failed
2024-04-02 08:30:00,192.168.1.5,user2,login_success
2024-04-02 08:17:00,192.168.1.5,admin,login_success
2024-04-02 08:09:00,192.168.1.20,admin,login_failed
2024-04-02 08:05:00,192.168.1.8,user2,login_success
2024-04-02 08:24:00,192.168.1.15,root,login_success
2024-04-02 08:21:00,192.168.1.5,root,login_success
2024-04-02 08:22:00,192.168.1.8,user1,login_failed
2024-04-02 08:21:00,192.168.1.10,root,login_failed
2024-04-02 08:29:00,192.168.1.15,user1,login_failed
2024-04-02 08:30:00,192.168.1.5,admin,login_failed
2024-04-02 08:10:00,192.168.1.5,user2,login_success
2024-04-02 08:04:00,192.168.1.8,user2,login_success
2024-04-02 08:18:00,192.168.1.15,admin,login_success
2024-04-02 08:04:00,192.168.1.20,root,login_failed
2024-04-02 08:01:00,192.168.1.15,admin,login_success
2024-04-02 08:20:00,192.168.1.15,user1,login_failed
2024-04-02 08:20:00,192.168.1.10,admin,login_failed
2024-04-02 08:28:00,192.168.1.20,root,login_failed
2024-04-02 08:20:00,192.168.1.5,user3,login_failed
2024-04-02 08:10:00,192.168.1.10,root,login_success
2024-04-02 08:21:00,192.168.1.10,user3,login_success
2024-04-02 08:15:00,192.168.1.5,admin,login_failed
2024-04-02 08:14:00,192.168.1.5,guest,login_failed
2024-04-02 08:13:00,192.168.1.8,admin,login_success
2024-04-02 08:06:00,192.168.1.10,guest,login_success
2024-04-02 08:16:00,192.168.1.8,user1,login_failed
2024-04-02 08:15:00,192.168.1.8,root,login_failed
2024-04-02 08:11:00,192.168.1.15,admin,login_success
2024-04-02 08:02:00,192.168.1.5,user2,login_failed
2024-04-02 08:05:00,192.168.1.8,user2,login_success
2024-04-02 08:25:00,192.168.1.10,root,login_success
2024-04-02 08:01:00,192.168.1.20,admin,login_failed
2024-04-02 08:02:00,192.168.1.8,user1,login_success
2024-04-02 08:08:00,192.168.1.5,user2,login_success
2024-04-02 08:07:00,192.168.1.10,user2,login_success
